param			w			W_T			dkr1			W			dkv1_of			supp	load	G			dkr1_k			
14.02.2018_1:23:57	525.618774414063	2.54859298706055	1.83953033268102	2.4853228962818		0.0053191489361699	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:23:58	525.618774414063	2.54859298706055	1.83953033268102	2.4853228962818		0.0052910052910050	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:24:00	525.618774414063	2.54859298706055	1.83953033268102	2.47553816046967	0.0026525198938984	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:24:01	525.722412109375	2.54859298706055	1.83953033268102	2.4853228962818		0.0026525198938984	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:24:03	525.740783691406	2.54859298706055	1.83953033268102	2.4853228962818		0.0052910052910050	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:24:04	525.740783691406	2.54859298706055	1.83953033268102	2.4853228962818		0.0026385224274412	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:05	525.740783691406	2.54859298706055	1.83953033268102	2.4853228962818		0.0026525198938984	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:24:07	525.740783691406	2.54859298706055	1.83953033268102	2.50489236790607	0.0000000000000001	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:08	525.740783691406	2.54859298706055	1.85909980430528	2.50489236790607	0.0026385224274412	0	1	36.7906074523926	6.20352250489237	
14.02.2018_1:24:10	525.740783691406	2.54859298706055	1.85909980430528	2.50489236790607	0.0026385224274412	0	1	36.9863014221191	6.22309197651663	
14.02.2018_1:24:11	525.845825195313	2.54859298706055	1.85909980430528	2.50489236790607	0.0026385224274412	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:13	525.845825195313	2.54859298706055	1.85909980430528	2.50489236790607	0.0026385224274412	0	1	36.6927604675293	6.22309197651663	
14.02.2018_1:24:14	525.845825195313	2.54859298706055	1.85909980430528	2.4853228962818		0.0000000000000001	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:24:16	525.845825195313	2.54859298706055	1.85909980430528	2.4853228962818		-0.0026385224274397	0	1	36.594913482666		6.20352250489237	
14.02.2018_1:24:17	525.845825195313	2.54859298706055	1.85909980430528	2.4853228962818		0.0000000000000001	0	1	36.6927604675293	6.20352250489237	
